,<<<<<<< Updated upstream,,,
Continent,Country,Ranking,GDP,
North America,United States,1,16768100,
Asia,China,2,9240270,
Asia,Japan,3,4919563,
Europe,Germany,4,3730261,
Europe,France,5,2806428,
Europe,United Kingdom,6,2678455,
South America,Brazil,7,2245673,
Europe,Italy,8,2149485,
Asia,Russian Federation,9,2096777,
Asia,India,10,1876797,
North America,Canada,11,1826769,
Oceania,Australia,12,1560372,
Europe,Spain,13,1393040,
Asia,"Korea, Rep.",14,1304554,
North America,Mexico,15,1260915,
Asia,Indonesia,16,868346,
Europe,Netherlands,17,853539,
Asia,Turkey,18,822135,
Asia,Saudi Arabia,19,748450,
Europe,Switzerland,20,685434,
South America,Argentina,21,609889,
Europe,Sweden,22,579680,
Europe,Poland,23,525866,
Europe,Belgium,24,524806,
Africa,Nigeria,25,521803,
Europe,Norway,26,512580,
South America,"Venezuela, RB",27,438284,
Europe,Austria,28,428322,
Asia,United Arab Emirates,29,402340,
Asia,Thailand,30,387252,
South America,Colombia,31,378415,
Asia,"Iran, Islamic Rep.",32,368904,
Africa,South Africa,33,350630,
Europe,Denmark,34,335878,
Asia,Malaysia,35,313159,
Asia,Singapore,36,297941,
Asia,Israel,37,290551,
South America,Chile,38,277199,
Asia,"Hong Kong SAR, China",39,274013,
Asia,Philippines,40,272067,
Africa,"Egypt, Arab Rep.",41,271973,
Europe,Finland,42,267329,
Europe,Greece,43,242230,
Asia,Pakistan,44,232287,
Europe,Ireland,45,232077,
Asia,Kazakhstan,46,231876,
Asia,Iraq,47,229327,
Europe,Portugal,48,227324,
Africa,Algeria,49,210183,
,=======,,,
,Continent,Country,Ranking,GDP
,North America,United States,1,16768100
,Asia,China,2,9240270
,Asia,Japan,3,4919563
,Europe,Germany,4,3730261
,Europe,France,5,2806428
,Europe,United Kingdom,6,2678455
,South America,Brazil,7,2245673
,Europe,Italy,8,2149485
,Asia,Russian Federation,9,2096777
,Asia,India,10,1876797
,North America,Canada,11,1826769
,Oceania,Australia,12,1560372
,Europe,Spain,13,1393040
,Asia,"Korea, Rep.",14,1304554
,North America,Mexico,15,1260915
,Asia,Indonesia,16,868346
,Europe,Netherlands,17,853539
,Asia,Turkey,18,822135
,Asia,Saudi Arabia,19,748450
,Europe,Switzerland,20,685434
,South America,Argentina,21,609889
,Europe,Sweden,22,579680
,Europe,Poland,23,525866
,Europe,Belgium,24,524806
,Africa,Nigeria,25,521803
,Europe,Norway,26,512580
,South America,"Venezuela, RB",27,438284
,Europe,Austria,28,428322
,Asia,United Arab Emirates,29,402340
,Asia,Thailand,30,387252
,South America,Colombia,31,378415
,Asia,"Iran, Islamic Rep.",32,368904
,Africa,South Africa,33,350630
,Europe,Denmark,34,335878
,Asia,Malaysia,35,313159
,Asia,Singapore,36,297941
,Asia,Israel,37,290551
,South America,Chile,38,277199
,Asia,"Hong Kong SAR, China",39,274013
,Asia,Philippines,40,272067
,Africa,"Egypt, Arab Rep.",41,271973
,Europe,Finland,42,267329
,Europe,Greece,43,242230
,Asia,Pakistan,44,232287
,Europe,Ireland,45,232077
,Asia,Kazakhstan,46,231876
,Asia,Iraq,47,229327
,Europe,Portugal,48,227324
,Africa,Algeria,49,210183
,>>>>>>> Stashed changes,,,
