Country,Country ,Currency,ExchangeperDollar
Afghanistan ,AFGHANISTAN,AFGHANI,57.9
Albania ,ALBANIA,LEK,115.1
Algeria ,ALGERIA,DINAR,87.81
Angola ,ANGOLA,KWANZA,104
Antigua & Barbuda ,ANTIGUA - BARBUDA, E. CARIBBEAN DOLLAR,2.7
Argentina ,ARGENTINA,PESO,8.373
Armenia ,ARMENIA,DRAM,470
Australia ,AUSTRALIA,DOLLAR,1.219
Austria ,AUSTRIA,EURO,0.822
Azerbaijan ,AZERBAIJAN,NEW MANAT,0.8
"Bahamas, The ",BAHAMAS,DOLLAR,1
Bahrain ,BAHRAIN,DINAR,0.377
Bangladesh ,BANGLADESH,TAKA,79
Barbados ,BARBADOS,DOLLAR,2.02
Belarus ,BELARUS,RUBLE,13779
Belgium ,BELGIUM,EURO,0.822
Belize ,BELIZE,DOLLAR,2
Benin ,BENIN,CFA FRANC,538.7
Bermuda ,BERMUDA, DOLLAR,1
Bolivia ,BOLIVIA,BOLIVIANO,6.86
Bosnia & Herzegovina ,BOSNIA,HERCEGOVINA MARKA,1.608
Botswana ,BOTSWANA,PULA,9.497
Brazil ,BRAZIL,REAL,2.657
Brunei ,BRUNEI,DOLLAR,1.254
Bulgaria ,BULGARIA,LEV,1.609
Burkina Faso ,BURKINA FASO,CFA FRANC,538.7
Burma ,BURMA,KYAT,1028
Burundi ,BURUNDI,FRANC,1550
Cambodia ,CAMBODIA (KHMER),RIEL,4103
Cameroon ,CAMEROON,CFA FRANC,538.82
Canada ,CANADA,DOLLAR,1.158
Cape Verde ,CAPE VERDE,ESCUDO,87.871
Cayman Islands ,CAYMAN ISLANDS,DOLLAR,0.82
Central African Rep. ,CENTRAL AFRICAN REPUBLIC,CFA FRANC,538.82
Chad ,CHAD,CFA FRANC,538.82
Chile ,CHILE,PESO,607.16
China ,CHINA,RENMINBI,6.205
Colombia ,COLOMBIA,PESO,2372.6
Comoros ,COMOROS,FRANC,361.35
"Congo, Dem. Rep. ",CONGO,CFA FRANC,538.82
"Congo, Repub. of the ","CONGO, DEM. REP",CONGOLESE FRANC,920
Costa Rica ,COSTA RICA,COLON,533.25
Cote d'Ivoire ,COTE DIVOIRE,CFA FRANC,538.7
Croatia ,CROATIA,KUNA,6.15
Cuba ,CUBA,PESO,1
Cyprus ,CYPRUS,EURO,0.822
Czech Republic ,CZECH,KORUNA,22.326
Denmark ,DENMARK,KRONE,6.124
Djibouti ,DJIBOUTI,FRANC,177
Dominican Republic ,DOMINICAN REPUBLIC,PESO,44.13
Ecuador ,ECAUDOR,DOLARES,1
Egypt ,EGYPT,POUND,7.15
El Salvador ,EL SALVADOR,DOLARES,1
Equatorial Guinea ,EQUATORIAL GUINEA,CFA FRANC,538.82
Eritrea ,ERITREA,NAKFA,15
Estonia ,ESTONIA,EURO,0.822
Ethiopia ,ETHIOPIA,BIRR,20.09
Fiji ,FIJI,DOLLAR,1.958
Finland ,FINLAND,EURO,0.822
France ,FRANCE,EURO,0.822
